MoleculeName
UniProt:P06239 LCK
UniProt:Q13114 TRAF3
UniProt:Q99558 MAP3K14
UniProt:Q12933 TRAF2
UniProt:Q13489 BIRC3
UniProt:Q13490 BIRC2
UniProt:P01375 TNF
UniProt:P20333 TNFRSF1B
UniProt:Q9Y6Q6 TNFRSF11A
UniProt:O14788 TNFSF11
UniProt:P36941 LTBR
UniProt:P01374 LTA
UniProt:Q06643 LTB
UniProt:O43557 TNFSF14
UniProt:P25942-1 CD40
UniProt:P29965 CD40LG
UniProt:Q9Y275 TNFSF13B
UniProt:Q96RJ3 TNFRSF13C
UniProt:Q9NP84 TNFRSF12A
UniProt:O43508 TNFSF12
UniProt:O43242 PSMD3
UniProt:P60900 PSMA6
UniProt:Q13200 PSMD2
UniProt:P28066 PSMA5
UniProt:Q9UNM6 PSMD13
UniProt:P25789 PSMA4
UniProt:O00232 PSMD12
UniProt:P25788 PSMA3
UniProt:O00231 PSMD11
UniProt:P25787 PSMA2
UniProt:P60896 SEM1
UniProt:O75832 PSMD10
UniProt:P25786 PSMA1
UniProt:Q99460 PSMD1
UniProt:O00487 PSMD14
UniProt:P62333 PSMC6
UniProt:P62195 PSMC5
UniProt:P43686 PSMC4
UniProt:P17980 PSMC3
UniProt:P35998 PSMC2
UniProt:P62191 PSMC1
UniProt:P28065 PSMB9
UniProt:A5LHX3 PSMB11
UniProt:Q14997 PSME4
UniProt:Q99436 PSMB7
UniProt:P28072 PSMB6
UniProt:Q8TAA3 PSMA8
UniProt:Q92530 PSMF1
UniProt:P61289 PSME3
UniProt:P28074 PSMB5
UniProt:Q9UL46 PSME2
UniProt:P28070 PSMB4
UniProt:Q06323 PSME1
UniProt:O00233 PSMD9
UniProt:P49720 PSMB3
UniProt:P48556 PSMD8
UniProt:P49721 PSMB2
UniProt:P51665 PSMD7
UniProt:Q15008 PSMD6
UniProt:P40306 PSMB10
UniProt:Q16401 PSMD5
UniProt:P20618 PSMB1
UniProt:P55036 PSMD4
UniProt:O14818 PSMA7
UniProt:Q01201 RELB
UniProt:Q00653 NFKB2
UniProt:Q9UKB1 FBXW11
UniProt:O15111 CHUK
UniProt:P61081 UBE2M
UniProt:Q8TBC4 UBA3
UniProt:Q92838 EDA
UniProt:Q9UNE0 EDAR
UniProt:O95150 TNFSF15
UniProt:Q93038 TNFRSF25
UniProt:Q92838-3 EDA
UniProt:Q9HAV5 EDA2R
UniProt:O14836 TNFRSF13B
UniProt:Q02223 TNFRSF17
UniProt:O75888 TNFSF13
UniProt:Q07011 TNFRSF9
UniProt:P41273 TNFSF9
UniProt:P43489 TNFRSF4
UniProt:P23510 TNFSF4
UniProt:P32970 CD70
UniProt:P26842 CD27
UniProt:Q53ZZ1 TNFSF6
UniProt:O95407 TNFRSF6B
UniProt:P28908 TNFRSF8
UniProt:P32971 TNFSF8
UniProt:O00300 TNFRSF11B
UniProt:Q9Y5U5 TNFRSF18
UniProt:Q9UNG2 TNFSF18
UniProt:Q8WWZ3 EDARADD
UniProt:Q92956 TNFRSF14
UniProt:P19438 TNFRSF1A
UniProt:Q08334 IL10RB
UniProt:P22301 IL10
UniProt:Q13651 IL10RA
UniProt:P15018 LIF
UniProt:Q99731 CCL19
UniProt:P29459 IL12A
UniProt:O00626 CCL22
UniProt:P29460 IL12B
UniProt:P78556 CCL20
UniProt:P13236 CCL4
UniProt:P13501 CCL5
UniProt:P10145 CXCL8
UniProt:P01584 IL1B
UniProt:P16619 CCL3L1
UniProt:P01583 IL1A
UniProt:P10147 CCL3
UniProt:P19875 CXCL2
UniProt:P09341 CXCL1
UniProt:Q14116 IL18
UniProt:P02778 CXCL10
UniProt:P13500 CCL2
UniProt:P05231 IL6
UniProt:P04141 CSF2
UniProt:P35354 PTGS2
UniProt:P06734 FCER2
UniProt:P14778 IL1R1
UniProt:P09603 CSF1
UniProt:P42081 CD86
UniProt:P27930 IL1R2
UniProt:P33681 CD80
UniProt:P01033 TIMP1
UniProt:P32246 CCR1
UniProt:P18510 IL1RN
UniProt:P51681 CCR5
UniProt:P41597 CCR2
UniProt:P21462 FPR1
UniProt:O00182 LGALS9
UniProt:Q8TDQ0 HAVCR2
UniProt:Q13261 IL15RA
UniProt:P40933 IL15
UniProt:P31785 IL2RG
UniProt:P14784 IL2RB
UniProt:P52333 JAK3
UniProt:Q07890 SOS2
UniProt:Q01113 IL9R
UniProt:P15248 IL9
UniProt:P01589 IL2RA
UniProt:P60568 IL2
UniProt:P32927 CSF2RB
UniProt:P08700 IL3
UniProt:P26951 IL3RA
UniProt:P15509 CSF2RA
UniProt:P05113 IL5
UniProt:Q01344 IL5RA
UniProt:P42338 PIK3CB
UniProt:Q92569 PIK3R3
UniProt:O00459 PIK3R2
UniProt:O00329 PIK3CD
UniProt:Q92835 INPP5D
UniProt:O15357 INPPL1
UniProt:Q14289 PTK2B
UniProt:Q9HBE5 IL21R
UniProt:Q9HBE4 IL21
UniProt:Q14765 STAT4
UniProt:P40189-1 IL6ST
UniProt:P08887 IL6R
UniProt:P08887-2 IL6R
UniProt:P40189-2 IL6ST
UniProt:P40189 IL6ST
UniProt:P42702 LIFR
UniProt:P26992 CNTFR
UniProt:O75462 CRLF1
UniProt:Q9UBD9 CLCF1
UniProt:P26441 CNTF
UniProt:Q14626 IL11RA
UniProt:P20809 IL11
UniProt:Q99650 OSMR
UniProt:P13725 OSM
UniProt:Q16619 CTF1
UniProt:Q8NI17 IL31RA
UniProt:Q6EBC2 IL31
UniProt:P51532 SMARCA4
UniProt:Q9NSI6 BRWD1
UniProt:P68431 H3C1
UniProt:Q71DI3 H3C15
UniProt:P16871 IL7R
UniProt:P13232 IL7
UniProt:Q9HC73 CRLF2
UniProt:Q969D9 TSLP
UniProt:P55895 RAG2
UniProt:P15918 RAG1
UniProt:P14210 HGF
UniProt:Q8N6P7 IL22RA1
UniProt:Q9GZX6 IL22
UniProt:Q13007 IL24
UniProt:Q6UXL0 IL20RB
UniProt:Q9UHF4 IL20RA
UniProt:Q9NYY1 IL20
UniProt:Q8IU57 IFNLR1
UniProt:Q8IZI9 IFNL3
UniProt:Q8IZJ0 IFNL2
UniProt:Q969J5 IL22RA2
UniProt:Q8IU54 IFNL1
UniProt:Q9UHD0 IL19
UniProt:Q9NPH9 IL26
UniProt:P42226 STAT6
UniProt:P05112 IL4
UniProt:P24394 IL4R
UniProt:P07900 HSP90AA1
UniProt:P38936 CDKN1A
UniProt:P08670 VIM
UniProt:Q07820 MCL1
UniProt:Q7L0Q8 RHOU
UniProt:P35228 NOS2
UniProt:Q16658 FSCN1
UniProt:P78552 IL13RA1
UniProt:P35225 IL13
UniProt:O75159 SOCS5
UniProt:P16671 CD36
UniProt:P09601 HMOX1
UniProt:Q16520 BATF
UniProt:P35398 RORA
UniProt:Q15672 TWIST1
UniProt:P49716 CEBPD
UniProt:Q16665 HIF1A
UniProt:P11309 PIM1
UniProt:Q12778 FOXO1
UniProt:P51449 RORC
UniProt:P48431 SOX2
UniProt:P24385 CCND1
UniProt:P17275 JUNB
UniProt:P37275 ZEB1
UniProt:Q9H9S0 NANOG
UniProt:P01100 FOS
UniProt:P41182 BCL6
UniProt:O15392 BIRC5
UniProt:P01106 MYC
UniProt:P14859 POU2F1
UniProt:P16050 ALOX15
UniProt:P11142 HSPA8
UniProt:P14625 HSP90B1
UniProt:P21397 MAOA
UniProt:P04637 TP53
UniProt:Q99608 NDN
UniProt:P10415 BCL2
UniProt:Q07817 BCL2L1
UniProt:Q5VWK5 IL23R
UniProt:P21453 S1PR1
UniProt:P15941 MUC1
UniProt:P11215 ITGAM
UniProt:P05107 ITGB2
UniProt:P05556 ITGB1
UniProt:P20702 ITGAX
UniProt:P01854 IGHE
UniProt:P01861 IGHG4
UniProt:P01857 IGHG1
UniProt:P51671 CCL11
UniProt:Q14627 IL13RA2
UniProt:P48023 FASLG
UniProt:P23771 GATA3
UniProt:P09917 ALOX5
UniProt:Q96PD4 IL17F
UniProt:P01137 TGFB1
UniProt:P14780 MMP9
UniProt:P09038 FGF2
UniProt:P15692 VEGFA
UniProt:Q9NPF7 IL23A
UniProt:P0DJI8 SAA1
UniProt:P08254 MMP3
UniProt:P80188 LCN2
UniProt:Q16552 IL17A
UniProt:P08253 MMP2
UniProt:P18428 LBP
UniProt:P01189 POMC
UniProt:P03956 MMP1
UniProt:P35372 OPRM1
UniProt:P41143 OPRD1
UniProt:P02751 FN1
UniProt:O15230 LAMA5
UniProt:P08123 COL1A2
UniProt:P00488 F13A1
UniProt:P04083 ANXA1
UniProt:O95760 IL33
UniProt:Q01638 IL1RL1
UniProt:Q01638-2 IL1RL1
UniProt:Q9NPH3-1 IL1RAP
UniProt:Q9NZH6 IL37
UniProt:O95998 IL18BP
UniProt:P29466 CASP1
UniProt:Q9UHD2 TBK1
UniProt:Q6IA17 SIGIRR
UniProt:Q13478 IL18R1
UniProt:P84022 SMAD3
UniProt:Q05209 PTPN12
UniProt:P43378 PTPN9
