MoleculeName
UniProt:Q8WVQ1 CANT1
UniProt:P09960 LTA4H
UniProt:P0DMV8 HSPA1A
UniProt:P35573 AGL
UniProt:Q13442 PDAP1
UniProt:P01009 SERPINA1
UniProt:P04264 KRT1
UniProt:P55072 VCP
UniProt:P61160 ACTR2
UniProt:Q16769 QPCT
UniProt:P37108 SRP14
UniProt:P16035 TIMP2
UniProt:P62699 YPEL5
UniProt:P46976 GYG1
UniProt:P06396 GSN
UniProt:P09972 ALDOC
UniProt:P32320 CDA
UniProt:P41218 MNDA
UniProt:P20839 IMPDH1
UniProt:P01034 CST3
UniProt:Q9P000 COMMD9
UniProt:P04080 CSTB
UniProt:P14618 PKM
UniProt:Q14019 COTL1
UniProt:Q9H0B8 CRISPLD2
UniProt:P15848 ARSB
UniProt:Q86VP6 CAND1
UniProt:P13716 ALAD
UniProt:Q9UNP9 PPIE
UniProt:Q13510 ASAH1
UniProt:P50990 CCT8
UniProt:Q9UBI1 COMMD3
UniProt:P02750 LRG1
UniProt:Q14004 CDK13
UniProt:Q9UBR2 CTSZ
UniProt:P13798 APEH
UniProt:Q8TD55 PLEKHO2
UniProt:O15511 ARPC5
UniProt:Q01432 AMPD3
UniProt:P04217 A1BG
UniProt:Q9BU76 MMTAG2
UniProt:P53396 ACLY
UniProt:Q9Y376 CAB39
UniProt:P17858 PFKL
UniProt:P14923 JUP
UniProt:P07384 CAPN1
UniProt:P12268 IMPDH2
UniProt:P13727 PRG2
UniProt:Q9NZT1 CALML5
UniProt:P67870 CSNK2B
UniProt:O14727 APAF1
UniProt:P12956 XRCC6
UniProt:Q9UBW5 BIN2
UniProt:P15289 ARSA
UniProt:Q13217 DNAJC3
UniProt:P10153 RNASE2
UniProt:O75629 CREG1
UniProt:P05089 ARG1
UniProt:P02792 FTL
UniProt:P20160 AZU1
UniProt:Q01518 CAP1
UniProt:Q96CS3 FAF2
UniProt:P01011 SERPINA3
UniProt:P19652 ORM2
UniProt:Q9NZK5 ADA2
UniProt:P42685 FRK
UniProt:P59665 DEFA1
UniProt:P28799 GRN
UniProt:P53990 IST1
UniProt:Q86YZ3 HRNR
UniProt:P34059 GALNS
UniProt:Q9NZF1 PLAC8
UniProt:P78371 CCT2
UniProt:Q92619 ARHGAP45
UniProt:Q9HD89 RETN
UniProt:P07478 PRSS2
UniProt:Q7Z4R8 C6orf120
UniProt:Q8N1F8 STK11IP
UniProt:Q70J99 UNC13D
UniProt:Q9Y2J8 PADI2
UniProt:O00754 MAN2B1
UniProt:O00584 RNASET2
UniProt:P00387 CYB5R3
UniProt:Q9H410 DSN1
UniProt:Q99536 VAT1
UniProt:P50395 GDI2
UniProt:P29508 SERPINB3
UniProt:Q5JS37 NHLRC3
UniProt:Q9UQ80 PA2G4
UniProt:Q6XQN6 NAPRT
UniProt:P31151 S100A7
UniProt:P12724 RNASE3
UniProt:Q92820 GGH
UniProt:P04066 FUCA1
UniProt:Q9BTY2 FUCA2
UniProt:P20933 AGA
UniProt:Q9UHL4 DPP7
UniProt:Q9ULZ3 PYCARD
UniProt:P28676 GCA
UniProt:Q9Y5Z4 HEBP2
UniProt:P11216 PYGB
UniProt:P61916 NPC2
UniProt:P06280 GLA
UniProt:P17900 GM2A
UniProt:Q8NBS9 TXNDC5
UniProt:P02766 TTR
UniProt:P05164 MPO
UniProt:Q9H7Z7 PTGES2
UniProt:Q9Y5R8 TRAPPC1
UniProt:O00560 SDCBP
UniProt:P07437 TUBB
UniProt:P07686 HEXB
UniProt:Q9BRF8 CPPED1
UniProt:P61626 LYZ
UniProt:P30041 PRDX6
UniProt:P03973 SLPI
UniProt:Q9Y251 HPSE
UniProt:P02788 LTF
UniProt:O75594 PGLYRP1
UniProt:Q96NW7 LRRC7
UniProt:Q8N2G8 GHDC
UniProt:Q99519 NEU1
UniProt:P26022 PTX3
UniProt:P00738 HP
UniProt:Q13231 CHIT1
UniProt:Q13813 SPTAN1
UniProt:P22894 MMP8
UniProt:O15078 CEP290
UniProt:Q7L576 CYFIP1
UniProt:P41439 FOLR3
UniProt:P12838 DEFA4
UniProt:Q9BS26 ERP44
UniProt:Q9BSW2 CRACR2A
UniProt:P49184 DNASE1L1
UniProt:Q9Y2Y8 PRG3
UniProt:Q92608 DOCK2
UniProt:P09110 ACAA1
UniProt:P51159 RAB27A
UniProt:P19801 AOC1
UniProt:P20061 TCN1
UniProt:O00391 QSOX1
UniProt:Q8IUR7 ARMC8
UniProt:Q9NQR4 NIT2
UniProt:P36222 CHI3L1
UniProt:Q6UX06 OLFM4
UniProt:P54108 CRISP3
UniProt:P02763 ORM1
UniProt:P49913 CAMP
UniProt:O00764 PDXK
UniProt:P02765 AHSG
UniProt:P11678 EPX
UniProt:P25815 S100P
UniProt:P30740 SERPINB1
UniProt:P31949 S100A11
UniProt:Q13464 ROCK1
UniProt:P09769 FGR
UniProt:Q9BRR9 ARHGAP9
UniProt:P07741 APRT
UniProt:P13010 XRCC5
UniProt:P30273 FCER1G
UniProt:O43451 MGAM
UniProt:Q08ET2 SIGLEC14
UniProt:P78324 SIRPA
UniProt:P49279 SLC11A1
UniProt:O95210 STBD1
UniProt:Q9Y3L5 RAP2C
UniProt:O75787 ATP6AP2
UniProt:P61106 RAB14
UniProt:Q9H1C7 CYSTM1
UniProt:Q6ZNJ1 NBEAL2
UniProt:O94856 NFASC
UniProt:Q96P63 SERPINB12
UniProt:Q9Y6X5 ENPP4
UniProt:Q13488 TCIRG1
UniProt:P15924 DSP
UniProt:Q13835 PKP1
UniProt:Q7Z3J2 VPS35L
UniProt:Q08554 DSC1
UniProt:Q02413 DSG1
UniProt:Q8IV04 TBC1D10C
UniProt:Q92932 PTPRN2
UniProt:P02775 PPBP
UniProt:Q5D862 FLG2
UniProt:P35030 PRSS3
UniProt:Q9H8H3 METTL7A
UniProt:Q7Z5G4 GOLGA7
UniProt:P52616 fljB
UniProt:P06179 fliC
UniProt:P41785 prgJ
UniProt:Q9NPP4 NLRC4
UniProt:Q99572 P2RX7
UniProt:Q96RD7 PANX1
UniProt:Q96P20 NLRP3
UniProt:P09616 hly
UniProt:Q9Y2Z0 SUGT1
UniProt:P10599 TXN
UniProt:Q9H3M7 TXNIP
UniProt:O43586 PSTPIP1
UniProt:O15553 MEFV
UniProt:Q9C000 NLRP1
UniProt:O14862 AIM2
UniProt:P21580 TNFAIP3
UniProt:Q9NQC7 CYLD
UniProt:P53778 MAPK12
UniProt:O15264 MAPK13
UniProt:Q13685 AAMP
UniProt:Q9H257 CARD9
UniProt:P42575 CASP2
UniProt:P55211 CASP9
UniProt:P49662 CASP4
UniProt:Q3LXA3 TKFC
UniProt:Q9BYX4 IFIH1
UniProt:Q96C10 DHX58
UniProt:Q8IUD6 RNF135
UniProt:Q7Z434 MAVS
UniProt:Q15366 PCBP2
UniProt:Q96EQ8 RNF125
UniProt:Q96G74 OTUD5
UniProt:Q9H1Y0 ATG5
UniProt:O94817 ATG12
UniProt:Q9NWF9 RNF216
UniProt:Q86VP1 TAX1BP1
UniProt:O94826 TOMM70
UniProt:Q09472 EP300
UniProt:Q92793 CREBBP
UniProt:P0DTD1-1 rep
UniProt:Q9BRV8 SIKE1
UniProt:P0DTD2 9b
UniProt:Q92851 CASP10
UniProt:P22079 LPO
UniProt:Q8N8Y2 ATP6V0D2
UniProt:P61421 ATP6V0D1
UniProt:Q9Y487 ATP6V0A2
UniProt:Q9HBG4 ATP6V0A4
UniProt:Q99437 ATP6V0B
UniProt:O15342 ATP6V0E1
UniProt:Q8NHE4 ATP6V0E2
UniProt:Q16864 ATP6V1F
UniProt:Q9UI12 ATP6V1H
UniProt:Q8NEY4 ATP6V1C2
UniProt:P21283 ATP6V1C1
UniProt:P36543 ATP6V1E1
UniProt:Q96A05 ATP6V1E2
UniProt:Q96LB4 ATP6V1G3
UniProt:O95670 ATP6V1G2
UniProt:O75348 ATP6V1G1
UniProt:P15313 ATP6V1B1
UniProt:P21281 ATP6V1B2
UniProt:P38606 ATP6V1A
UniProt:P15153 RAC2
UniProt:P29474 NOS3
UniProt:P29475 NOS1
UniProt:Q5EBL8 PDZD11
UniProt:Q04656 ATP7A
UniProt:O00244 ATOX1
UniProt:P22749 GNLY
UniProt:P41797 SSA1
UniProt:P46587 SSA2
UniProt:P15516 HTN3
UniProt:P15515 HTN1
UniProt:Q6UW15 REG3G
UniProt:Q06141 REG3A
UniProt:P14555 PLA2G2A
UniProt:O95925 EPPIN
UniProt:P04279 SEMG1
UniProt:Q8TDE3 RNASE8
UniProt:Q93091 RNASE6
UniProt:Q9H1E1 RNASE7
UniProt:Q96LB9 PGLYRP3
UniProt:Q96LB8 PGLYRP4
UniProt:Q969E1 LEAP2
UniProt:P59827 BPIFB4
UniProt:Q8NFQ5 BPIFB6
UniProt:Q8N4F0 BPIFB2
UniProt:Q8TDL5 BPIFB1
UniProt:Q9NP55 BPIFA1
UniProt:Q96DR5 BPIFA2
UniProt:P81605 DCD
UniProt:Q86SG5 S100A7A
UniProt:P10645 CHGA
UniProt:Q96PD5 PGLYRP2
UniProt:Q8WWA0 ITLN1
UniProt:P19957 PI3
UniProt:P59666 DEFA3
UniProt:Q01523 DEFA5
UniProt:Q01524 DEFA6
UniProt:P04578 env
UniProt:P52961 ART1
UniProt:Q30KP8 DEFB136
UniProt:Q9H1M3 DEFB129
UniProt:Q5J5C9 DEFB121
UniProt:Q30KP9 DEFB135
UniProt:Q8N687 DEFB125
UniProt:Q4QY38 DEFB134
UniProt:Q7Z7B8 DEFB128
UniProt:P59861 DEFB131A
UniProt:Q8N690 DEFB119
UniProt:Q8NES8 DEFB124
UniProt:Q9H1M4 DEFB127
UniProt:Q8N688 DEFB123
UniProt:Q7Z7B7 DEFB132
UniProt:Q9BYW3 DEFB126
UniProt:Q8WTQ1 DEFB104A
UniProt:P0DP74 DEFB130A
UniProt:Q96PH6 DEFB118
UniProt:Q30KQ4 DEFB116
UniProt:Q30KQ5 DEFB115
UniProt:Q8IZN7 DEFB107A
UniProt:Q30KQ9 DEFB110
UniProt:Q30KQ1 DEFB133
UniProt:Q30KQ3 Beta-defensin 117
UniProt:P0DP73 DEFB130B
UniProt:Q8N104 DEFB106A
UniProt:Q30KQ7 DEFB113
UniProt:Q8NG35 DEFB105A
UniProt:Q30KQ6 DEFB114
UniProt:Q30KQ8 DEFB112
UniProt:Q8NET1 DEFB108B
UniProt:O15263 DEFB4A
UniProt:P81534 DEFB103A
UniProt:P60022 DEFB1
UniProt:A8MXU0 DEFB108A
UniProt:Q30KR1 DEFB109B
UniProt:P51684 CCR6
UniProt:Q96BZ4 PLD4
UniProt:Q8IV08 PLD3
UniProt:O14939 PLD2
UniProt:Q8NEB5 PLPP5
UniProt:Q5VZY2 PLPP4
UniProt:Q02156 PRKCE
UniProt:O60733 PLA2G6
UniProt:P63261 ACTG1
UniProt:P60709 ACTB
UniProt:Q92747 ARPC1A
UniProt:O15144 ARPC2
UniProt:P61158 ACTR3
UniProt:O15143 ARPC1B
UniProt:P59998 ARPC4
UniProt:O15145 ARPC3
UniProt:O00401 WASL
UniProt:P53667 LIMK1
UniProt:Q9NZQ3 NCKIPSD
UniProt:O43516 WIPF1
UniProt:Q8TF74 WIPF2
UniProt:A6NGB9 WIPF3
UniProt:Q9Y2A7 NCKAP1
UniProt:Q9NYB9 ABI2
UniProt:Q8IZP0 ABI1
UniProt:Q92558 WASF1
UniProt:Q9UPY6 WASF3
UniProt:Q9Y6W5 WASF2
UniProt:Q8WUW1 BRK1
UniProt:Q96F07 CYFIP2
UniProt:Q9UQB8 BAIAP2
UniProt:P35579 MYH9
UniProt:Q9Y4I1 MYO5A
UniProt:Q13459 MYO9B
UniProt:O00159 MYO1C
UniProt:Q9UKX2 MYH2
UniProt:P52735 VAV2
UniProt:Q9UKW4 VAV3
UniProt:P00519 ABL1
UniProt:P35240 NF2
UniProt:Q9HD67 MYO10
UniProt:Q92556 ELMO1
UniProt:Q96JJ3 ELMO2
UniProt:Q14185 DOCK1
UniProt:Q05397 PTK2
UniProt:P14314 PRKCSH
UniProt:Q9BXN2 CLEC7A
UniProt:Q9UMR7 CLEC4A
UniProt:Q99IB8 Genome polyprotein
UniProt:P04582 env
UniProt:P05877 env
UniProt:P05879 env
UniProt:P05881 env
UniProt:P35961 env
UniProt:P19550 env
UniProt:P03377 env
UniProt:P04624 env
UniProt:P03375 env
UniProt:P12487 env
UniProt:Q70626 env
UniProt:P04581 env
UniProt:P05882 env
UniProt:P12490 env
UniProt:P12489 env
UniProt:P03378 env
UniProt:P20888 env
UniProt:P05880 env
UniProt:P19549 env
UniProt:P04580 env
UniProt:P12491 env
UniProt:P31872 env
UniProt:P05878 env
UniProt:P20871 env
UniProt:P19551 env
UniProt:P04583 env
UniProt:P31819 env
UniProt:P12488 env
UniProt:P18799 env
UniProt:P04579 env
UniProt:P98088 MUC5AC
UniProt:Q6W4X9 MUC6
UniProt:Q9H3R2 MUC13
UniProt:Q5SSG8 MUC21
UniProt:Q9H195 MUC3B
UniProt:Q7Z5P9 MUC19
UniProt:Q02817 MUC2
UniProt:Q8WXI7 MUC16
UniProt:Q99102 MUC4
UniProt:Q8TAX7 MUC7
UniProt:Q8N307 MUC20
UniProt:Q8N387 MUC15
UniProt:Q02505 MUC3A
UniProt:Q9HC84 MUC5B
UniProt:Q96DR8 MUCL1
UniProt:Q685J3 MUC17
UniProt:Q9UKN1 MUC12
UniProt:Q8IUN9 CLEC10A
UniProt:Q9ULY5 CLEC4E
UniProt:Q6EIG7 CLEC6A
UniProt:Q96MN2 NLRP4
UniProt:Q9Y2E6 DTX4
UniProt:Q9NSU2 TREX1
UniProt:Q9H171 ZBP1
UniProt:Q9BRZ2 TRIM56
UniProt:Q9UJV9 DDX41
UniProt:P35222 CTNNB1
UniProt:Q32MZ4 LRRFIP1
UniProt:Q8N884 CGAS
UniProt:Q7RTR2 NLRC3
UniProt:Q16666 IFI16
UniProt:P78527 PRKDC
UniProt:P49959 MRE11
UniProt:Q08211 DHX9
UniProt:Q9H2U1 DHX36
UniProt:P53803 POLR2K
UniProt:P61218 POLR2F
UniProt:P05423 POLR3D
UniProt:Q9NVU0 POLR3E
UniProt:P19388 POLR2E
UniProt:O14802 POLR3A
UniProt:P62875 POLR2L
UniProt:Q9NW08 POLR3B
UniProt:P0DPB5 POLR1D
UniProt:Q9BT43 POLR3GL
UniProt:O15318 POLR3G
UniProt:Q9BUI4 POLR3C
UniProt:Q9H1D9 POLR3F
UniProt:Q9Y2Y1 POLR3K
UniProt:O15160 POLR1C
UniProt:O75575 CRCP
UniProt:Q9Y535 POLR3H
UniProt:P52434 POLR2H
UniProt:P26717 KLRC2
UniProt:P29353-2 SHC1
UniProt:O43561-2 LAT
UniProt:P43632 KIR2DS4
UniProt:Q14943 KIR3DS1
UniProt:A6NMB1 SIGLEC16
UniProt:Q6ZMC9 SIGLEC15
UniProt:Q14953 KIR2DS5
UniProt:Q9GZY6 LAT2
UniProt:Q01362 MS4A2
UniProt:P12319 FCER1A
UniProt:Q8TDF6 RASGRP4
UniProt:P42681 TXK
ENSEMBL:ENSG00000119917 IFIT3
ENSEMBL:ENSG00000137265 IRF4
ENSEMBL:ENSG00000213928 IRF9
ENSEMBL:ENSG00000168310 IRF2
ENSEMBL:ENSG00000185507 IRF7
ENSEMBL:ENSG00000117595 IRF6
ENSEMBL:ENSG00000125347 IRF1
ENSEMBL:ENSG00000128604 IRF5
ENSEMBL:ENSG00000140968 IRF8
ENSEMBL:ENSG00000126456 IRF3
ENSEMBL:ENSG00000126709 IFI6
ENSEMBL:ENSG00000101347 SAMHD1
ENSEMBL:ENSG00000120738 EGR1
ENSEMBL:ENSG00000111335 OAS2
ENSEMBL:ENSG00000089127 OAS1
ENSEMBL:ENSG00000111331 OAS3
ENSEMBL:ENSG00000135114 OASL
ENSEMBL:ENSG00000130303 BST2
ENSEMBL:ENSG00000160710 ADAR
ENSEMBL:ENSG00000172183 ISG20
ENSEMBL:ENSG00000165949 IFI27
ENSEMBL:ENSG00000068745 IP6K2
ENSEMBL:ENSG00000142089 IFITM3
ENSEMBL:ENSG00000187608 ISG15
ENSEMBL:ENSG00000135828 RNASEL
ENSEMBL:ENSG00000132530 XAF1
ENSEMBL:ENSG00000134321 RSAD2
ENSEMBL:ENSG00000068079 IFI35
ENSEMBL:ENSG00000206341 HLA-H
ENSEMBL:ENSG00000204632 HLA-G
ENSEMBL:ENSG00000234745 HLA-B
ENSEMBL:ENSG00000204642 HLA-F
ENSEMBL:ENSG00000204592 HLA-E
ENSEMBL:ENSG00000206503 HLA-A
ENSEMBL:ENSG00000204525 HLA-C
ENSEMBL:ENSG00000152778 IFIT5
ENSEMBL:ENSG00000162645 GBP2
ENSEMBL:ENSG00000185745 IFIT1
ENSEMBL:ENSG00000204264 PSMB8
ENSEMBL:ENSG00000185885 IFITM1
ENSEMBL:ENSG00000119922 IFIT2
ENSEMBL:ENSG00000185201 IFITM2
ENSEMBL:ENSG00000183486 MX2
ENSEMBL:ENSG00000157601 MX1
ENSEMBL:ENSG00000101665 SMAD7
ENSEMBL:ENSG00000166710 B2M
ENSEMBL:ENSG00000198019 FCGR1B
ENSEMBL:ENSG00000150337 FCGR1A
ENSEMBL:ENSG00000140464 PML
ENSEMBL:ENSG00000169403 PTAFR
ENSEMBL:ENSG00000125148 MT2A
ENSEMBL:ENSG00000067066 SP100
ENSEMBL:ENSG00000149294 NCAM1
ENSEMBL:ENSG00000026508 CD44
ENSEMBL:ENSG00000162692 VCAM1
ENSEMBL:ENSG00000090339 ICAM1
ENSEMBL:ENSG00000216490 IFI30
ENSEMBL:ENSG00000154451 GBP5
ENSEMBL:ENSG00000117226 GBP3
ENSEMBL:ENSG00000183347 GBP6
ENSEMBL:ENSG00000213512 GBP7
ENSEMBL:ENSG00000162654 GBP4
ENSEMBL:ENSG00000117228 GBP1
ENSEMBL:ENSG00000196735 HLA-DQA1
ENSEMBL:ENSG00000231389 HLA-DPA1
ENSEMBL:ENSG00000232629 HLA-DQB2
ENSEMBL:ENSG00000196101 HLA-DRB3
ENSEMBL:ENSG00000196126 HLA-DRB1
ENSEMBL:ENSG00000204287 HLA-DRA
ENSEMBL:ENSG00000179344 HLA-DQB1
ENSEMBL:ENSG00000227357 HLA-DRB4
ENSEMBL:ENSG00000237541 HLA-DQA2
ENSEMBL:ENSG00000223865 HLA-DPB1
ENSEMBL:ENSG00000198502 HLA-DRB5
ENSEMBL:ENSG00000179583 CIITA
ENSEMBL:ENSG00000137699 TRIM29
ENSEMBL:ENSG00000104228 TRIM35
ENSEMBL:ENSG00000163462 TRIM46
ENSEMBL:ENSG00000134253 TRIM45
ENSEMBL:ENSG00000109654 TRIM2
ENSEMBL:ENSG00000204613 TRIM10
ENSEMBL:ENSG00000106785 TRIM14
ENSEMBL:ENSG00000150244 TRIM48
ENSEMBL:ENSG00000121236 TRIM6
ENSEMBL:ENSG00000162931 TRIM17
ENSEMBL:ENSG00000110171 TRIM3
ENSEMBL:ENSG00000112343 TRIM38
ENSEMBL:ENSG00000132274 TRIM22
ENSEMBL:ENSG00000204616 TRIM31
ENSEMBL:ENSG00000167333 TRIM68
ENSEMBL:ENSG00000116525 TRIM62
ENSEMBL:ENSG00000258659 TRIM34
ENSEMBL:ENSG00000234127 TRIM26
ENSEMBL:ENSG00000121060 TRIM25
ENSEMBL:ENSG00000132256 TRIM5
ENSEMBL:ENSG00000101871 MID1
ENSEMBL:ENSG00000171206 TRIM8
ENSEMBL:ENSG00000132109 TRIM21
ENSEMBL:ENSG00000185338 SOCS1
ENSEMBL:ENSG00000184557 SOCS3
ENSEMBL:ENSG00000111276 CDKN1B
ENSEMBL:ENSG00000153094 BCL2L11
ENSEMBL:ENSG00000113302 IL12B
ENSEMBL:ENSG00000136244 IL6
ENSEMBL:ENSG00000277768 CCL3L1
ENSEMBL:ENSG00000275302 CCL4
ENSEMBL:ENSG00000108342 CSF3
ENSEMBL:ENSG00000081041 CXCL2
ENSEMBL:ENSG00000108691 CCL2
ENSEMBL:ENSG00000172724 CCL19
ENSEMBL:ENSG00000115009 CCL20
ENSEMBL:ENSG00000232810 TNF
ENSEMBL:ENSG00000277632 CCL3
ENSEMBL:ENSG00000164400 CSF2 gene
ENSEMBL:ENSG00000163739 CXCL1
ENSEMBL:ENSG00000102962 CCL22
ENSEMBL:ENSG00000271503 CCL5
ENSEMBL:ENSG00000169245 CXCL10
ENSEMBL:ENSG00000115008 IL1A
ENSEMBL:ENSG00000169429 IL8
ENSEMBL:ENSG00000150782 IL18
ENSEMBL:ENSG00000125538 IL1B
ENSEMBL:ENSG00000128342 LIF
ENSEMBL:ENSG00000168811 IL12A
ENSEMBL:ENSG00000073756 PTGS2
ENSEMBL:ENSG00000184371 CSF1
ENSEMBL:ENSG00000104921 FCER2
ENSEMBL:ENSG00000121594 CD80
ENSEMBL:ENSG00000115590 IL1R2
ENSEMBL:ENSG00000114013 CD86
ENSEMBL:ENSG00000115594 IL1R1
ENSEMBL:ENSG00000102265 TIMP1
ENSEMBL:ENSG00000067182 TNFRSF1A
ENSEMBL:ENSG00000160791 CCR5
ENSEMBL:ENSG00000171051 FPR1
ENSEMBL:ENSG00000136689 IL1RN
ENSEMBL:ENSG00000028137 TNFRSF1B
ENSEMBL:ENSG00000121807 CCR2
ENSEMBL:ENSG00000163823 CCR1
ENSEMBL:ENSG00000185658 BRWD1
ENSEMBL:ENSG00000114737 CISH
ENSEMBL:ENSG00000120833 SOCS2
ENSEMBL:ENST00000330871 SOCS3
ENSEMBL:ENSG00000026025 VIM
ENSEMBL:ENSG00000075618 FSCN1
ENSEMBL:ENSG00000115415 STAT1
ENSEMBL:ENSG00000124762 CDKN1A
ENSEMBL:ENSG00000116574 RHOU
ENSEMBL:ENSG00000007171 NOS2
ENSEMBL:ENSG00000142208 AKT1
ENSEMBL:ENSG00000143384 MCL1
ENSEMBL:ENSG00000145675 PIK3R1
ENSEMBL:ENSG00000080824 HSP90AA1
ENSEMBL:ENSG00000135218 CD36
ENSEMBL:ENSG00000100292 HMOX1
ENSEMBL:ENSG00000113916 BCL6
ENSEMBL:ENSG00000111704 NANOG
ENSEMBL:ENSG00000100644 HIF1A
ENSEMBL:ENSG00000221869 CEBPD
ENSEMBL:ENSG00000170345 FOS
ENSEMBL:ENSG00000110092 CCND1
ENSEMBL:ENSG00000089685 BIRC5
ENSEMBL:ENSG00000156127 BATF
ENSEMBL:ENSG00000143190 POU2F1
ENSEMBL:ENSG00000118689 FOXO3
ENSEMBL:ENSG00000148516 ZEB1
ENSEMBL:ENSG00000150907 FOXO1
ENSEMBL:ENSG00000122691 TWIST1
ENSEMBL:ENSG00000181449 SOX2
ENSEMBL:ENSG00000137193 PIM1
ENSEMBL:ENSG00000136997 MYC
ENSEMBL:ENSG00000143365 RORC
ENSEMBL:ENSG00000069667 RORA
ENSEMBL:ENSG00000171223 JUNB
ENSEMBL:ENSG00000109971 HSPA8
ENSEMBL:ENSG00000161905 ALOX15
ENSEMBL:ENSG00000189221 MAOA
ENSEMBL:ENSG00000182636 NDN
ENSEMBL:ENSG00000141510 TP53
ENSEMBL:ENSG00000171791 BCL2
ENSEMBL:ENSG00000171552 BCL2L1
ENSEMBL:ENSG00000185499 MUC1
ENSEMBL:ENSG00000162594 IL23R
ENSEMBL:ENSG00000160712 IL6R
ENSEMBL:ENSG00000170989 S1PR1
ENSEMBL:ENSG00000150093 ITGB1
ENSEMBL:ENSG00000169896 ITGAM
ENSEMBL:ENSG00000140678 ITGAX
ENSEMBL:ENSG00000160255 ITGB2
ENSEMBL:ENSG00000211892 IGHG4
ENSEMBL:ENSG00000211896 IGHG1
ENSEMBL:ENSG00000172156 CCL11
ENSEMBL:ENSG00000211891 IGHE
ENSEMBL:ENSG00000117560 FASLG
ENSEMBL:ENSG00000107485 GATA3
ENSEMBL:ENSG00000012779 ALOX5
ENSEMBL:ENSG00000019991 HGF
ENSEMBL:ENSG00000136634 IL10
ENSEMBL:ENSG00000105329 TGFB1
ENSEMBL:ENSG00000148346 LCN2
ENSEMBL:ENSG00000173432 SAA1
ENSEMBL:ENSG00000138685 FGF2
ENSEMBL:ENST00000619177 IL23A
ENSEMBL:ENSG00000129988 LBP
ENSEMBL:ENSG00000196611 MMP1
ENSEMBL:ENSG00000099985 OSM
ENSEMBL:ENSG00000112715 VEGFA
ENSEMBL:ENSG00000115138 POMC
ENSEMBL:ENSG00000100985 MMP9
ENSEMBL:ENSG00000149968 MMP3
ENSEMBL:ENSG00000087245 MMP2
ENSEMBL:ENSG00000112115 IL17A
ENSEMBL:ENSG00000112116 IL17F
ENSEMBL:ENSG00000116329 OPRD1
ENSEMBL:ENSG00000077238 IL4R
ENSEMBL:ENSG00000112038 OPRM1
ENSEMBL:ENSG00000135046 ANXA1
ENSEMBL:ENSG00000164692 COL1A2
ENSEMBL:ENSG00000115414 FN1
ENSEMBL:ENSG00000124491 F13A1
ENSEMBL:ENSG00000130702 LAMA5
ENSEMBL:ENSG00000072135 PTPN18
ENSEMBL:ENSG00000175354 PTPN2
ENSEMBL:ENSG00000179295 PTPN11
ENSEMBL:ENSG00000169410 PTPN9
ENSEMBL:ENSG00000163629 PTPN13
ENSEMBL:ENSG00000143851 PTPN7
ENSEMBL:ENSG00000111679 PTPN6
ENSEMBL:ENSG00000152104 PTPN14
ENSEMBL:ENSG00000110786 PTPN5
ENSEMBL:ENSG00000076201 PTPN23
ENSEMBL:ENSG00000127947 PTPN12
ENSEMBL:ENSG00000088179 PTPN4
ENSEMBL:ENSG00000204179 PTPN20
ENSEMBL:ENSG00000166130 IKBIP
ENSEMBL:ENSG00000183336 BOLA2
ENSEMBL:ENSG00000147065 MSN
ENSEMBL:ENSG00000240972 MIF
ENSEMBL:ENSG00000112096 SOD2
ENSEMBL:ENSG00000169813 HNRNPF
ENSEMBL:ENSG00000150593 PDCD4
ENSEMBL:ENSG00000174238 PITPNA
ENSEMBL:ENSG00000006451 RALA
ENSEMBL:ENSG00000113368 LMNB1
ENSEMBL:ENSG00000136167 LCP1
ENSEMBL:ENSG00000152795 HNRNPDL
ENSEMBL:ENSG00000143761 ARF1
ENSEMBL:ENSG00000099810 MTAP
ENSEMBL:ENSG00000111537 IFNG
ENSEMBL:ENSG00000133742 CA1
ENSEMBL:ENSG00000148834 GSTO1
ENSEMBL:ENSG00000177156 TALDO1
ENSEMBL:ENSG00000131876 SNRPA1
ENSEMBL:ENSG00000182718 ANXA2
ENSEMBL:ENSG00000127314 RAP1B
ENSEMBL:ENSG00000122566 HNRNPA2B1
ENSEMBL:ENSG00000116489 CAPZA1
ENSEMBL:ENSG00000064666 CNN2
ENSEMBL:ENSG00000070831 CDC42
ENSEMBL:ENSG00000180370 PAK2
ENSEMBL:ENSG00000197632 SERPINB2
ENSEMBL:ENSG00000196262 PPIA
ENSEMBL:ENSG00000110711 AIP
ENSEMBL:ENSG00000244067 GSTA2
ENSEMBL:ENSG00000120438 TCP1
ENSEMBL:ENSG00000089157 RPLP0
ENSEMBL:ENSG00000142168 SOD1
ENSEMBL:ENSG00000100911 PSME2
ENSEMBL:ENSG00000172757 CFL1
ENSEMBL:ENSG00000113013 HSP9
ENSEMBL:ENSG00000105246 EBI3
ENSEMBL:ENSG00000162711 NLRP3
ENSEMBL:ENSG00000171855 IFNB1
ENSEMBL:ENSG00000188379 IFNA2
ENSEMBL:ENSG00000233816 IFNA1
ENSEMBL:ENSG00000186803 IFNA10
ENSEMBL:ENSG00000147873 IFNA5
ENSEMBL:ENSG00000137080 IFNA21
ENSEMBL:ENSG00000147885 IFNA16
ENSEMBL:ENSG00000214042 IFNA7
ENSEMBL:ENSG00000228083 IFNA14
ENSEMBL:ENSG00000234829 IFNA17
ENSEMBL:ENSG00000120242 IFNA8
