MoleculeName
UniProt:P01814 IGHV2-70
UniProt:P01766 IGHV3-13
UniProt:P01772 IGHV3-33
UniProt:P01782 IGHV3-9
UniProt:P01817 IGHV2-5
UniProt:P01767 IGHV3-53
UniProt:P01825 IGHV4-59
UniProt:P01824 IGHV4-39
UniProt:P01780 IGHV3-7
UniProt:P01762 IGHV3-11
UniProt:P01764 IGHV3-23
UniProt:P23083 IGHV1-2
UniProt:P01763 IGHV3-48
UniProt:P01743 IGHV1-46
UniProt:P06331 IGHV4-34
UniProt:A2KUC3 IGHV
UniProt:P01768 IGHV3-30
UniProt:P01877 IGHA2
UniProt:P01876 IGHA1
UniProt:Q5NV62 IGLV8-61
UniProt:Q5NV61 IGLV4-3
UniProt:Q5NV68 IGLV5-37
UniProt:Q5NV65 IGLV2-18
UniProt:Q5NV64 IGLV3-16
UniProt:Q5NV66 IGLV2-33
UniProt:P01701 IGLV1-51
UniProt:Q5NV67 IGLV1-36
UniProt:Q5NV80 IGLV7-43
UniProt:P01709 IGLV2-8
UniProt:P01715 IGLV3-1
UniProt:Q5NV81 IGLV1-44
UniProt:P01717 IGLV3-25
UniProt:Q5NV82 IGLV5-45
UniProt:Q5NV69 IGLV1-40
UniProt:P01700 IGLV1-47
UniProt:Q5NV75 IGLV3-22
UniProt:P01721 IGLV6-57
UniProt:P01714 IGLV3-19
UniProt:Q5NV79 IGLV4-60
UniProt:Q5NV83 IGLV7-46
UniProt:Q5NV86 IGLV10-54
UniProt:P80748 IGLV3-21
UniProt:Q5NV89 IGLV2-23
UniProt:P01703 IGLV1-40
UniProt:Q5NV92 IGLV4-69
UniProt:Q5NV90 IGLV3-25
UniProt:Q5NV84 IGLV2-11
UniProt:P04211 IGLV7-43
UniProt:Q5NV91 IGLV3-27
UniProt:Q5NV85 IGLV3-12
UniProt:Q5NV87 IGLV11-55
UniProt:P01699 IGLV1-44
UniProt:P01705 IGLV2-23
UniProt:P01718 IGLV3-27
UniProt:P01706 IGLV2-11
UniProt:P01704 IGLV2-14
UniProt:P0CF74 IGLC6
UniProt:P0CG04 IGLC1
UniProt:P0DOY2 IGLC2
UniProt:P0DOY3 IGLC3
UniProt:A0M8Q6 IGLC7
UniProt:P01834 IGKC
UniProt:P06312 IGKV4-1
UniProt:P01619 IGKV3-20
UniProt:P01615 IGKV2D-28
UniProt:P01601 IGKV1D-16
UniProt:P01614 IGKV2D-40
UniProt:A0A0C4DH25 IGKV3D-20
UniProt:A2NXD2 IGLV
UniProt:P01611 IGKV1D-12
UniProt:P01593 IGKV1D-33
UniProt:P06310 IGKV2-30
UniProt:P01624 IGKV3-15
UniProt:P04432 IGKV1D-39
UniProt:A0A0C4DH73 IGKV1-12
UniProt:P04433 IGKV3-11
UniProt:A0A075B6S6 IGKV2D-30
UniProt:P01597 IGKV1-39
