MoleculeName
UniProt:P09234 SNRPC
UniProt:P08621 SNRNP70
UniProt:P09012 SNRPA
UniProt:O75940 SMNDC1
UniProt:Q96I25 RBM17
UniProt:O75533 SF3B1
UniProt:Q9Y3B4 SF3B6
UniProt:Q86XP3 DDX42
UniProt:Q13435 SF3B2
UniProt:Q15393 SF3B3
UniProt:Q15427 SF3B4
UniProt:Q9BWJ5 SF3B5
UniProt:Q8IWX8 CHERP
UniProt:P63162 SNRPN
UniProt:Q9UHX1 PUF60
UniProt:Q7L014 DDX46
UniProt:P09661 SNRPA1
UniProt:O43143 DHX15
UniProt:P08579 SNRPB2
UniProt:O15042 U2SURP
UniProt:Q7RTV0 PHF5A
UniProt:Q15459 SF3A1
UniProt:Q15428 SF3A2
UniProt:Q12874 SF3A3
UniProt:Q9BXP5 SRRT
UniProt:Q08211 DHX9
UniProt:P52756 RBM5
UniProt:P17844 DDX5
UniProt:O75400 PRPF40A
UniProt:O14776 TCERG1
UniProt:Q14498 RBM39
UniProt:P49756 RBM25
UniProt:Q8NAV1 PRPF38A
UniProt:O60828 PQBP1
UniProt:O75554 WBP4
UniProt:Q9Y2W2 WBP11
UniProt:P55081 MFAP1
UniProt:Q9BRD0 BUD13
UniProt:Q9Y388 RBMX2
UniProt:Q8TAD8 SNIP1
UniProt:Q96NC0 ZMAT2
UniProt:Q9BZL1 UBL5
UniProt:O00422 SAP18
UniProt:Q9H307 PNN
UniProt:Q9UKV3 ACIN1
UniProt:Q9UNP9 PPIE
UniProt:Q9HCS7 XAB2
UniProt:P41223 BUD31
UniProt:Q9NW64 RBM22
UniProt:Q13573 SNW1
UniProt:Q9BZJ0 CRNKL1
UniProt:Q9ULR0 ISY1
UniProt:Q96NB3 ZNF830
UniProt:O60306 AQR
UniProt:Q92733 PRCC
UniProt:Q2TBE0 CWF19L2
UniProt:O95926 SYF2
UniProt:Q9P013 CWC15
UniProt:O75934 BCAS2
UniProt:Q99459 CDC5L
UniProt:O43660 PLRG1
UniProt:Q9UMS4 PRPF19
UniProt:Q8WYA6 CTNNBL1
UniProt:Q9Y3C6 PPIL1
UniProt:P16383 GCFC2
UniProt:Q9UBB9 TFIP11
UniProt:Q96BP3 PPWD1
UniProt:Q9H875 PRKRIP1
UniProt:Q13427 PPIG
UniProt:Q6IQ49 SDE2
UniProt:Q9Y421 FAM32A
UniProt:Q14320 FAM50A
UniProt:Q9H5V9 STEEP1
UniProt:Q9H2H8 PPIL3
UniProt:Q96BZ8 LENG1
UniProt:Q9HCG8 CWC22
UniProt:Q8WUQ7 CACTIN
UniProt:Q9NZ63 C9orf78
UniProt:Q8N5F7 NKAP
UniProt:Q9UJV9 DDX41
UniProt:Q8WUD4 CCDC12
UniProt:Q14562 DHX8
UniProt:Q8WUA2 PPIL4
UniProt:Q13356 PPIL2
UniProt:Q99633 PRPF18
UniProt:Q9NXE8 CWC25
UniProt:Q9H5Z1 DHX35
UniProt:Q9NW82 WDR70
UniProt:Q9BW85 YJU2
UniProt:Q9H0G5 NSRP1
UniProt:Q9BRR8 GPATCH1
UniProt:Q6UX04 CWC27
UniProt:O60231 DHX16
UniProt:Q92917 GPKOW
UniProt:O15541 RNF113A
UniProt:O95232 LUC7L3
UniProt:Q8IWZ8 SUGP1
UniProt:Q15637 SF1
UniProt:O43719 HTATSF1
UniProt:Q9Y580 RBM7
UniProt:Q8IX12 CCAR1
UniProt:O75937 DNAJC8
UniProt:Q12972 PPP1R8
UniProt:Q96LT9 RNPC3
UniProt:Q8TBF4 ZCRB1
UniProt:Q9UDW3 ZMAT5
UniProt:Q9BV90 SNRNP25
UniProt:Q16560 SNRNP35
UniProt:Q8N8D1 PDCD7
UniProt:Q6IEG0 SNRNP48
UniProt:Q15696 ZRSR2
UniProt:Q15007 WTAP
UniProt:Q86U44 METTL3
UniProt:Q9HCE5 METTL14
UniProt:Q8WTR7 ZNF473
UniProt:Q969L4 LSM10
UniProt:P83369 LSM11
UniProt:Q9NWZ8 GEMIN8
UniProt:Q9H840 GEMIN7
UniProt:O14893 GEMIN2
UniProt:Q8WXD5 GEMIN6
UniProt:Q8TEQ6 GEMIN5
UniProt:Q9UHI6 DDX20
UniProt:Q16637 SMN1
UniProt:P57678 GEMIN4
UniProt:O95149 SNUPN
UniProt:Q9H814 PHAX
UniProt:P0DTD1-1 rep
UniProt:Q96RS0 TGS1
UniProt:O14744 PRMT5
UniProt:P54105 CLNS1A
UniProt:Q9BQA1 WDR77
UniProt:Q969T7 NT5C3B
UniProt:Q9Y450 HBS1L
UniProt:Q9GZS3 SKIC8
UniProt:Q15477 SKIC2
UniProt:Q6PGP7 SKIC3
UniProt:Q96C86 DCPS
UniProt:P26196 DDX6
UniProt:Q96F86 EDC3
UniProt:Q8IZD4 DCP1B
UniProt:Q6P2E9 EDC4
UniProt:Q86TB9 PATL1
UniProt:O15116 LSM1
UniProt:Q58A45 PAN3
UniProt:Q504Q3 PAN2
UniProt:Q9H074 PAIP1
UniProt:P60842 EIF4A1
UniProt:Q14240 EIF4A2
UniProt:P23588 EIF4B
UniProt:O95628 CNOT4
UniProt:Q9H9A5 CNOT10
UniProt:A5YKK6 CNOT1
UniProt:O75175 CNOT3
UniProt:Q9NZN8 CNOT2
UniProt:Q9UIV1 CNOT7
UniProt:Q9UFF9 CNOT8
UniProt:Q92600 CNOT9
UniProt:Q9UKZ1 CNOT11
UniProt:Q9ULM6 CNOT6
UniProt:Q96LI5 CNOT6L
UniProt:Q9C0C2 TNKS1BP1
UniProt:Q5TAX3 TUT4
UniProt:Q5VYS8 TUT7
ENSEMBL:ENST00000337883 IGF2
ENSEMBL:ENST00000381406 IGF2
ENSEMBL:ENST00000278386 CD44
ENSEMBL:ENST00000352818 CD44
ENSEMBL:ENST00000263398 CD44
ENSEMBL:ENST00000278385 CD44
ENSEMBL:ENST00000279452 CD44
ENSEMBL:ENST00000331789 ACTB
ENSEMBL:ENST00000252900 H19
ENSEMBL:ENST00000613283 MYC
ENSEMBL:ENST00000516869 RPPH1
ENSEMBL:ENST00000361681 MT-ND6
ENSEMBL:ENST00000387392 MT-TA
ENSEMBL:ENST00000387400 MT-TN
ENSEMBL:ENST00000387461 MT-TP
ENSEMBL:ENST00000387416 MT-TS1
ENSEMBL:ENST00000387405 MT-TC
ENSEMBL:ENST00000387459 MT-TE
ENSEMBL:ENST00000387372 MT-TQ
ENSEMBL:ENST00000387409 MT-TY
ENSEMBL:ENST00000387365 MT-TI
ENSEMBL:ENST00000387419 MT-TD
ENSEMBL:ENST00000387382 MT-TW
ENSEMBL:ENST00000387314 MT-TF
ENSEMBL:ENST00000387456 MT-TL2
ENSEMBL:ENST00000386347 MT-TL1
ENSEMBL:ENST00000387439 MT-TR
ENSEMBL:ENST00000387449 MT-TS2
ENSEMBL:ENST00000387377 MT-TM
ENSEMBL:ENST00000387460 MT-TT
ENSEMBL:ENST00000387441 MT-TH
ENSEMBL:ENST00000387421 MT-TK
ENSEMBL:ENST00000387342 MT-TV
ENSEMBL:ENST00000387429 MT-TG
ENSEMBL:ENST00000361739 MT-CO2
ENSEMBL:ENST00000361453 MT-ND2
ENSEMBL:ENST00000361335 MT-ND4L
ENSEMBL:ENST00000361789 MT-CYB
ENSEMBL:ENST00000389680 MT-RNR1
ENSEMBL:ENST00000361899 MT-ATP6
ENSEMBL:ENST00000361227 MT-ND3
ENSEMBL:ENST00000361381 MT-ND4
ENSEMBL:ENST00000361567 MT-ND5
ENSEMBL:ENST00000362079 MT-CO3
ENSEMBL:ENST00000361851 MT-ATP8
ENSEMBL:ENST00000361624 MT-CO1
ENSEMBL:ENST00000361390 MT-ND1
ENSEMBL:ENST00000387347 MT-RNR2
EMBL:M11167 28S rRNA
EMBL:J01866 5.8S rRNA
EMBL:V00589 5S rRNA
EMBL:X03205 18S rRNA
ENSEMBL:ENST00000427067 ENPP2
ENSEMBL:ENST00000014914 GPRC5A
NCBI Nucleotide:NR_046235 RNA45S5
NCBI Nucleotide:NR_006880 SNORD3A
EMBL:X04293 U5 snRNA
EMBL:X59361 U4 snRNA
EMBL:X59362 U6 snRNA
EMBL:V00590 U1A snRNA
EMBL:X59360 U2 snRNA
ENSEMBL:ENST00000362512 RNU12
ENSEMBL:ENST00000387069 RNU11
ENSEMBL:ENST00000580972 RNU4ATAC
